variant,n_obs,n_asins,CATE mean (demand),CATE min (demand),CATE max (demand),R2 outcome,R2 treatment,het p (PLR),het p (linear)
txtimg,11352,1032,-0.20327078162258114,-0.926581051842718,0.41792256750986634,0.18998646026984312,-0.16785391534812444,0.06455964558395699,0.015118820678144407
txt,11352,1032,-0.20048999199216647,-0.9005271628937539,0.13810997528186894,0.17559647175113535,-0.059660119231112585,0.5064992897665346,0.30647114009475684
