variant,n_asins,CATE mean (demand),CATE min (demand),CATE max (demand),R2 outcome,R2 treatment,het p (PLR),het p (linear)
txtimg,430,-0.24210419126025906,-1.1139285488687523,0.5377986894508369,0.3014342421055839,0.03638205041796749,0.2759185049987708,0.06577164664294355
txt,430,-0.16281212819070384,-0.669612972454065,0.2934571851146802,0.30592484657713837,-0.06536920576153848,0.1840380756800052,0.28198023250151716
