variant,n_obs,n_asins,CATE mean (demand),CATE min (demand),CATE max (demand),R2 outcome,R2 treatment,het p (PLR),het p (linear)
txtimg,28314,2574,-0.17462938770151473,-0.5504272018689562,0.14888959833180504,0.4357779116596211,0.005860091168649051,0.08224517874757975,0.26471335237083005
txt,28314,2574,-0.12642726741676152,-0.29737017130933907,0.21158320881475642,0.4212990392781527,0.03312597618080981,0.2693006148663788,0.1767241061609841
