variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.18116203860866276,-0.06062970971034839,0.05990261918796599,-0.30193673101443796,-0.10104951618391399,0.09983769864660998
txtimg,PLR + Controls,-0.15099231344808417,-0.047372643667205325,0.056247026113673534,-0.251653855746807,-0.07895440611200888,0.09374504352278923
txtimg,PLR + Emb + Controls,-0.18141474883894718,-0.0720502613478685,0.03731422614321017,-0.30235791473157864,-0.12008376891311418,0.062190376905350286
txtimg,PLR + Similarities + Controls,-0.1465393459850222,-0.03785159178344823,0.07083616241812574,-0.24423224330837032,-0.06308598630574705,0.11806027069687623
txtimg,PLR + PCA + Controls,-0.13718274372270853,-0.03693793137479574,0.06330688097311704,-0.2286379062045142,-0.06156321895799291,0.1055114682885284
txt,PLR + Embeddings,-0.17143829937771032,-0.07869920953420925,0.014039880309291819,-0.2857304989628506,-0.1311653492236821,0.023399800515486367
txt,PLR + Controls,-0.14822571400676826,-0.034688173264411086,0.0788493674779461,-0.24704285667794712,-0.05781362210735181,0.13141561246324351
txt,PLR + Emb + Controls,-0.09620581884825212,0.027253125531654113,0.15071206991156033,-0.16034303141375353,0.04542187588609019,0.2511867831859339
txt,PLR + Similarities + Controls,-0.16299522232503982,-0.04120088603293771,0.0805934502591644,-0.2716587038750664,-0.06866814338822952,0.13432241709860734
txt,PLR + PCA + Controls,-0.11600512974888319,0.03199755087287964,0.18000023149464248,-0.19334188291480534,0.05332925145479941,0.30000038582440414
