variant,n_obs,n_asins,CATE mean (demand),CATE min (demand),CATE max (demand),R2 outcome,R2 treatment,het p (PLR),het p (linear)
txtimg,4730,430,-0.3401526108209479,-1.0114226813471916,0.6024880456481843,0.3848318840416586,-0.07594898160406016,0.26019914928555876,0.41632878417823416
txt,4730,430,-0.0905385805403113,-0.981720417355662,0.5784168841246344,0.2947834297127151,-0.04169224122355475,0.22559435534855643,0.7552762921047902
