variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.15623247657428674,-0.04365598770105321,0.06892050117218032,-0.2603874609571446,-0.07275997950175535,0.11486750195363388
txtimg,PLR + Controls,-0.2079384387818442,-0.08780805873775956,0.03232232130632509,-0.34656406463640704,-0.1463467645629326,0.05387053551054182
txtimg,PLR + Emb + Controls,-0.10608139450734667,-0.021287670991759166,0.06350605252382834,-0.17680232417891112,-0.03547945165293195,0.10584342087304723
txtimg,PLR + Similarities + Controls,-0.18015147574211726,-0.07116871869390608,0.03781403835430511,-0.3002524595701955,-0.11861453115651013,0.06302339725717518
txtimg,PLR + PCA + Controls,-0.10305853727592314,0.014218586539833761,0.13149571035559066,-0.17176422879320524,0.02369764423305627,0.21915951725931776
txt,PLR + Embeddings,-0.168972251177318,-0.07102569640854575,0.02692085836022652,-0.2816204186288634,-0.11837616068090959,0.0448680972670442
txt,PLR + Controls,-0.11728709771793067,-0.03316536700195861,0.05095636371401346,-0.1954784961965511,-0.055275611669931016,0.08492727285668909
txt,PLR + Emb + Controls,-0.07579605692596007,0.0016126214589900303,0.07902129984394014,-0.1263267615432668,0.0026877024316500505,0.1317021664065669
txt,PLR + Similarities + Controls,-0.10356834688202582,-0.027318750644642197,0.04893084559274142,-0.17261391147004304,-0.045531251074403666,0.0815514093212357
txt,PLR + PCA + Controls,-0.1114178901124696,-0.02015783360466829,0.07110222290313302,-0.18569648352078266,-0.03359638934111382,0.11850370483855503
