variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.1451029731899786,-0.004434630160105883,0.13623371286976682,-0.24183828864996437,-0.0073910502668431384,0.22705618811627803
txtimg,PLR + Controls,-0.22315172308196052,-0.056311483040485395,0.11052875700098974,-0.3719195384699342,-0.09385247173414232,0.18421459500164958
txtimg,PLR + Emb + Controls,-0.018485653233444338,0.14410386258382082,0.306693378401086,-0.030809422055740564,0.24017310430636804,0.5111556306684767
txtimg,PLR + Similarities + Controls,-0.17993547425047487,-0.029540416705327328,0.12085464083982021,-0.2998924570841248,-0.049234027842212216,0.20142440139970036
txtimg,PLR + PCA + Controls,-0.1327645220626499,0.04217678090582518,0.2171180838743003,-0.22127420343774987,0.07029463484304198,0.3618634731238338
txt,PLR + Embeddings,-0.14476322455273702,0.03919905871130611,0.22316134197534923,-0.24127204092122836,0.06533176451884352,0.3719355699589154
txt,PLR + Controls,-0.1295416638421233,0.022992287843585348,0.17552623952929397,-0.2159027730702055,0.03832047973930892,0.2925437325488233
txt,PLR + Emb + Controls,-0.07021498186985019,0.06714204168607417,0.2044990652419985,-0.11702496978308365,0.11190340281012362,0.34083177540333087
txt,PLR + Similarities + Controls,-0.1556023534171246,0.010194969369950149,0.17599229215702492,-0.2593372556952077,0.01699161561658358,0.29332048692837487
txt,PLR + PCA + Controls,-0.13252329384738382,0.007911507486009972,0.14834630881940375,-0.22087215641230637,0.01318584581001662,0.2472438480323396
