variant,n_obs,n_asins,CATE mean (demand),CATE min (demand),CATE max (demand),R2 outcome,R2 treatment,het p (PLR),het p (linear)
txtimg,6897,627,-0.16201055921376173,-0.2693890448049535,-0.024653437453409643,0.613188824871727,0.08185351175513533,0.7695019696502919,0.2707085742239195
txt,6897,627,-0.10606173332900197,-0.26860655464417293,0.1976236909149165,0.6571385339025633,0.04467253242179092,0.1474940853635559,0.015468469162228438
