gender,embedding,subcat,n_train,spec,variant,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper,sig
men,proper,loafers-slip-ons,180,PLR + PCA + Controls,txtimg,-0.1031,0.0142,0.1315,-0.1718,0.0237,0.2192,False
men,proper,loafers-slip-ons,180,PLR + Similarities + Controls,txt,-0.1036,-0.0273,0.0489,-0.1726,-0.0455,0.0816,False
men,proper,loafers-slip-ons,180,PLR + Similarities + Controls,txtimg,-0.1802,-0.0712,0.0378,-0.3003,-0.1186,0.063,False
men,proper,oxfords,130,PLR + Controls,txt,-0.1289,0.0127,0.1544,-0.2149,0.0212,0.2574,False
men,proper,oxfords,130,PLR + Controls,txtimg,-0.1137,0.0304,0.1746,-0.1895,0.0507,0.291,False
men,proper,oxfords,130,PLR + Emb + Controls,txt,-0.1688,-0.012,0.1449,-0.2814,-0.02,0.2415,False
men,proper,oxfords,130,PLR + Emb + Controls,txtimg,-0.1426,-0.0129,0.1168,-0.2377,-0.0215,0.1946,False
men,proper,oxfords,130,PLR + Embeddings,txt,-0.1631,0.008,0.1791,-0.2718,0.0134,0.2985,False
men,proper,oxfords,130,PLR + Embeddings,txtimg,-0.1074,0.0338,0.175,-0.179,0.0563,0.2917,False
men,proper,oxfords,130,PLR + PCA + Controls,txt,-0.1169,0.0321,0.1811,-0.1948,0.0535,0.3019,False
men,proper,oxfords,130,PLR + PCA + Controls,txtimg,-0.032,0.1067,0.2455,-0.0534,0.1779,0.4092,False
men,proper,oxfords,130,PLR + Similarities + Controls,txt,-0.1605,-0.0181,0.1244,-0.2675,-0.0301,0.2073,False
men,proper,oxfords,130,PLR + Similarities + Controls,txtimg,-0.1693,-0.0313,0.1067,-0.2822,-0.0522,0.1778,False
men,whole,ALL,1029,PLR + Controls,txt,-0.205,-0.1457,-0.0865,-0.3417,-0.2429,-0.1441,True
men,whole,ALL,1029,PLR + Controls,txtimg,-0.1771,-0.1149,-0.0527,-0.2951,-0.1915,-0.0878,True
men,whole,ALL,1029,PLR + Emb + Controls,txt,-0.1919,-0.1308,-0.0697,-0.3199,-0.218,-0.1162,True
men,whole,ALL,1029,PLR + Emb + Controls,txtimg,-0.1557,-0.1012,-0.0467,-0.2595,-0.1686,-0.0778,True
men,whole,ALL,1029,PLR + Embeddings,txt,-0.2344,-0.1621,-0.0898,-0.3906,-0.2701,-0.1497,True
men,whole,ALL,1029,PLR + Embeddings,txtimg,-0.1771,-0.1114,-0.0457,-0.2952,-0.1857,-0.0762,True
men,whole,ALL,1029,PLR + PCA + Controls,txt,-0.2078,-0.143,-0.0781,-0.3464,-0.2383,-0.1301,True
men,whole,ALL,1029,PLR + PCA + Controls,txtimg,-0.1918,-0.1368,-0.0819,-0.3196,-0.2281,-0.1365,True
men,whole,ALL,1029,PLR + Similarities + Controls,txt,-0.2154,-0.1515,-0.0876,-0.359,-0.2525,-0.1459,True
men,whole,ALL,1029,PLR + Similarities + Controls,txtimg,-0.1968,-0.1352,-0.0737,-0.328,-0.2254,-0.1228,True
women,lazy,fashion-sneakers,430,PLR + Controls,txt,-0.2119,-0.1322,-0.0525,-0.3532,-0.2203,-0.0875,True
women,lazy,fashion-sneakers,430,PLR + Controls,txtimg,-0.2774,-0.1911,-0.1048,-0.4624,-0.3185,-0.1746,True
women,lazy,fashion-sneakers,430,PLR + Emb + Controls,txt,-0.1426,-0.0689,0.0048,-0.2376,-0.1148,0.0079,False
women,lazy,fashion-sneakers,430,PLR + Emb + Controls,txtimg,-0.2841,-0.2019,-0.1198,-0.4735,-0.3365,-0.1996,True
women,lazy,fashion-sneakers,430,PLR + Embeddings,txt,-0.285,-0.2059,-0.1268,-0.4751,-0.3432,-0.2114,True
women,lazy,fashion-sneakers,430,PLR + Embeddings,txtimg,-0.3172,-0.2204,-0.1236,-0.5287,-0.3674,-0.206,True
women,lazy,fashion-sneakers,430,PLR + PCA + Controls,txt,-0.194,-0.1044,-0.0148,-0.3233,-0.174,-0.0247,True
women,lazy,fashion-sneakers,430,PLR + PCA + Controls,txtimg,-0.2031,-0.1242,-0.0454,-0.3385,-0.207,-0.0756,True
women,lazy,fashion-sneakers,430,PLR + Similarities + Controls,txt,-0.1266,-0.043,0.0407,-0.2111,-0.0716,0.0678,False
women,lazy,fashion-sneakers,430,PLR + Similarities + Controls,txtimg,-0.2197,-0.1469,-0.0742,-0.3661,-0.2449,-0.1236,True
women,lazy,flats,496,PLR + Controls,txt,-0.0647,-0.0272,0.0103,-0.1078,-0.0453,0.0172,False
women,lazy,flats,496,PLR + Controls,txtimg,-0.1079,-0.0611,-0.0143,-0.1798,-0.1018,-0.0239,True
women,lazy,flats,496,PLR + Emb + Controls,txt,-0.0692,-0.0378,-0.0064,-0.1154,-0.063,-0.0106,True
women,lazy,flats,496,PLR + Emb + Controls,txtimg,-0.1007,-0.0627,-0.0247,-0.1678,-0.1045,-0.0412,True
women,lazy,flats,496,PLR + Embeddings,txt,-0.2271,-0.1486,-0.0702,-0.3784,-0.2477,-0.1169,True
women,lazy,flats,496,PLR + Embeddings,txtimg,-0.1616,-0.0976,-0.0335,-0.2694,-0.1626,-0.0559,True
women,lazy,flats,496,PLR + PCA + Controls,txt,-0.0739,-0.0347,0.0044,-0.1231,-0.0579,0.0074,False
women,lazy,flats,496,PLR + PCA + Controls,txtimg,-0.0752,-0.0319,0.0113,-0.1253,-0.0532,0.0188,False
women,lazy,flats,496,PLR + Similarities + Controls,txt,-0.1059,-0.0637,-0.0215,-0.1765,-0.1062,-0.0359,True
women,lazy,flats,496,PLR + Similarities + Controls,txtimg,-0.1012,-0.0593,-0.0174,-0.1687,-0.0988,-0.029,True
women,lazy,pumps,626,PLR + Controls,txt,-0.1123,-0.0698,-0.0273,-0.1872,-0.1164,-0.0455,True
women,lazy,pumps,626,PLR + Controls,txtimg,-0.104,-0.0636,-0.0232,-0.1734,-0.1061,-0.0387,True
women,lazy,pumps,626,PLR + Emb + Controls,txt,-0.091,-0.0538,-0.0165,-0.1516,-0.0896,-0.0276,True
women,lazy,pumps,626,PLR + Emb + Controls,txtimg,-0.1389,-0.0963,-0.0538,-0.2315,-0.1606,-0.0896,True
women,lazy,pumps,626,PLR + Embeddings,txt,-0.2501,-0.1925,-0.135,-0.4168,-0.3209,-0.225,True
women,lazy,pumps,626,PLR + Embeddings,txtimg,-0.219,-0.1699,-0.1208,-0.3649,-0.2831,-0.2013,True
women,lazy,pumps,626,PLR + PCA + Controls,txt,-0.0977,-0.0576,-0.0175,-0.1628,-0.096,-0.0291,True
women,lazy,pumps,626,PLR + PCA + Controls,txtimg,-0.1043,-0.0666,-0.0288,-0.1739,-0.1109,-0.048,True
women,lazy,pumps,626,PLR + Similarities + Controls,txt,-0.0879,-0.0418,0.0042,-0.1465,-0.0697,0.0071,False
women,lazy,pumps,626,PLR + Similarities + Controls,txtimg,-0.1113,-0.0649,-0.0185,-0.1855,-0.1081,-0.0308,True
women,proper,fashion-sneakers,430,PLR + Controls,txt,-0.176,-0.0999,-0.0237,-0.2934,-0.1665,-0.0395,True
women,proper,fashion-sneakers,430,PLR + Controls,txtimg,-0.1626,-0.0783,0.0061,-0.271,-0.1304,0.0101,False
women,proper,fashion-sneakers,430,PLR + Emb + Controls,txt,-0.1618,-0.0907,-0.0196,-0.2697,-0.1512,-0.0326,True
women,proper,fashion-sneakers,430,PLR + Emb + Controls,txtimg,-0.225,-0.1392,-0.0534,-0.375,-0.2319,-0.0889,True
women,proper,fashion-sneakers,430,PLR + Embeddings,txt,-0.2908,-0.21,-0.1292,-0.4847,-0.35,-0.2153,True
women,proper,fashion-sneakers,430,PLR + Embeddings,txtimg,-0.2915,-0.2001,-0.1087,-0.4859,-0.3336,-0.1812,True
women,proper,fashion-sneakers,430,PLR + PCA + Controls,txt,-0.1768,-0.1018,-0.0269,-0.2946,-0.1697,-0.0448,True
women,proper,fashion-sneakers,430,PLR + PCA + Controls,txtimg,-0.2094,-0.1242,-0.0389,-0.349,-0.2069,-0.0649,True
women,proper,fashion-sneakers,430,PLR + Similarities + Controls,txt,-0.1884,-0.1161,-0.0437,-0.314,-0.1934,-0.0729,True
